# Annotated with Bakta
# Software: v1.9.1
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	41260	41892	+	AGJPKI_00235		YqgE/AlgH family protein	RefSeq:WP_016719326.1, SO:0001217, UniParc:UPI0003586257, UniRef:UniRef100_A0A0E8V8D8, UniRef:UniRef50_A1TI09, UniRef:UniRef90_A0A1X0DG97
contig_1	cds	41984	42331	-	AGJPKI_00240		Uncharacterized protein Rv0039c	GO:0005886, RefSeq:WP_003907179.1, SO:0001217, UniParc:UPI0000139166, UniRef:UniRef100_P9WM88, UniRef:UniRef50_O32871, UniRef:UniRef90_P9WM88
contig_1	cds	42413	43345	-	AGJPKI_00245	mtc28	Proline-rich antigen	GO:0005576, RefSeq:WP_003900793.1, SO:0001217, UniParc:UPI0000132151, UniRef:UniRef100_P0A5Q7, UniRef:UniRef50_P0A5Q7, UniRef:UniRef90_P0A5Q7
contig_1	cds	43575	46451	+	AGJPKI_00250	leuS	leucine--tRNA ligase	COG:COG0495, COG:J, EC:6.1.1.4, GO:0002161, GO:0004823, GO:0005524, GO:0005829, GO:0005886, GO:0006429, GO:0009274, SO:0001217, UniParc:UPI00005EE34A, UniRef:UniRef100_A0A0E8B8U0, UniRef:UniRef50_Q82C66, UniRef:UniRef90_P67511
contig_1	cds	46561	47187	-	AGJPKI_00255	marR	DNA-binding transcriptional regulator, MarR family	COG:COG1846, COG:K, RefSeq:WP_003400476.1, SO:0001217, UniParc:UPI00000D11F5, UniRef:UniRef100_A0A1R3XU39, UniRef:UniRef50_R4LY02, UniRef:UniRef90_A0A1R3XU39
contig_1	cds	47346	48080	-	AGJPKI_00260	gntR	Uncharacterized HTH-type transcriptional regulator Rv0043c	COG:COG1802, COG:K, GO:0003677, GO:0003700, RefSeq:WP_003899786.1, SO:0001217, UniParc:UPI0000139179, UniRef:UniRef100_P9WMG8, UniRef:UniRef50_P9WMG8, UniRef:UniRef90_P9WMG8
contig_1	cds	48213	49007	-	AGJPKI_00265	ssuD	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	COG:COG2141, COG:HR, RefSeq:WP_003400486.1, SO:0001217, UniParc:UPI00000D123F, UniRef:UniRef100_A0A1R3XU55, UniRef:UniRef50_A0A6N7CJE0, UniRef:UniRef90_A0A1R3XU55
contig_1	cds	49023	49919	-	AGJPKI_00270	menH	Esterase Rv0045c	COG:COG0596, COG:HR, EC:3.1.1.1, GO:0016787, GO:0052689, RefSeq:WP_003400489.1, SO:0001217, UniParc:UPI00000D121D, UniRef:UniRef100_I6XU97, UniRef:UniRef50_I6XU97, UniRef:UniRef90_I6XU97
contig_1	cds	50001	51104	-	AGJPKI_00275	ino1	inositol-3-phosphate synthase	COG:COG1260, COG:I, EC:5.5.1.4, GO:0004512, GO:0006021, GO:0008654, RefSeq:WP_003400492.1, SO:0001217, UniParc:UPI0000164F21, UniRef:UniRef100_P9WKI0, UniRef:UniRef50_Q8NLE6, UniRef:UniRef90_P9WKI0
contig_1	cds	51165	51707	-	AGJPKI_00280	padR	DNA-binding transcriptional regulator, PadR family	COG:COG1695, COG:K, RefSeq:WP_003899787.1, SO:0001217, UniParc:UPI00000CCC19, UniRef:UniRef100_A0A1R3XWC5, UniRef:UniRef50_R4M2Q4, UniRef:UniRef90_Q7DAJ4
contig_1	cds	51808	52677	-	AGJPKI_00285		Uncharacterized protein Rv0048c	GO:0005886, GO:0009274, RefSeq:WP_003900795.1, SO:0001217, UniParc:UPI0000164F23, UniRef:UniRef100_P9WM86, UniRef:UniRef50_P9WM87, UniRef:UniRef90_P9WM87
contig_1	cds	52811	53224	+	AGJPKI_00290		Uncharacterized protein Mb0050	RefSeq:WP_003400504.1, SO:0001217, UniParc:UPI000013918F, UniRef:UniRef100_P9WM84, UniRef:UniRef50_P9WM84, UniRef:UniRef90_P9WM84
contig_1	cds	53217	55679	+	AGJPKI_00295	ponA1	transglycosylase/D,D-transpeptidase PonA1	BlastRules:WP_003899790, GO:0005886, GO:0006508, GO:0008360, GO:0008658, GO:0008955, GO:0009002, GO:0009252, GO:0030288, GO:0046677, GO:0071456, GO:0071555, RefSeq:WP_003900796.1, SO:0001217, UniParc:UPI00012780DD, UniRef:UniRef100_A0A0H3L8C5, UniRef:UniRef50_P71707, UniRef:UniRef90_P71707
contig_1	cds	55676	57358	+	AGJPKI_00300		Uncharacterized membrane protein	COG:COG5650, COG:S, RefSeq:WP_003400514.1, SO:0001217, UniParc:UPI00000CCC1A, UniRef:UniRef100_A0A045HSJ8, UniRef:UniRef50_A0A0N9YJ61, UniRef:UniRef90_Q7DAJ3
contig_1	cds	57315	57953	+	AGJPKI_00305	glxA	Transcriptional regulator GlxA, contains an amidase domain and an AraC-type DNA-binding HTH domain	COG:COG4977, COG:K, RefSeq:WP_003899791.1, SO:0001217, UniParc:UPI0000164F25, UniRef:UniRef100_A0A0E8TV33, UniRef:UniRef50_A0A2R5H2Z2, UniRef:UniRef90_R4MDE9
contig_1	cds	58172	58462	+	AGJPKI_00310	rpsF	30S ribosomal protein S6	COG:COG0360, COG:J, GO:0003735, GO:0005840, GO:0005886, GO:0006412, GO:0009274, GO:0070181, GO:1990904, RefSeq:WP_003400520.1, SO:0001217, UniParc:UPI00001350BC, UniRef:UniRef100_P66592, UniRef:UniRef50_A0R7F9, UniRef:UniRef90_A0R7F9
contig_1	cds	58566	59060	+	AGJPKI_00315	ssb	Single-stranded DNA-binding protein	GO:0003697, GO:0005576, GO:0005886, GO:0006260, GO:0006974, GO:0009295, GO:0046677, GO:0051096, RefSeq:WP_003400534.1, SO:0001217, UniParc:UPI0000135FAE, UniRef:UniRef100_P0A611, UniRef:UniRef50_P0A611, UniRef:UniRef90_P0A611
contig_1	cds	59102	59356	+	AGJPKI_00320	rpsR	30S ribosomal protein S18	GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:1990904, RefSeq:WP_003400540.1, SO:0001217, UniParc:UPI0000132F34, UniRef:UniRef100_P69231, UniRef:UniRef50_A0R7F7, UniRef:UniRef90_A0R7F7
contig_1	cds	59389	59847	+	AGJPKI_00325	rplI	50S ribosomal protein L9	COG:COG0359, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:1990904, KEGG:K02939, RefSeq:WP_003400543.1, SO:0001217, UniParc:UPI00001341F5, UniRef:UniRef100_P66316, UniRef:UniRef50_A0R7F6, UniRef:UniRef90_P66316
contig_1	cds	59876	60397	+	AGJPKI_00330		Uncharacterized protein Mb0058	RefSeq:WP_003900797.1, SO:0001217, UniParc:UPI00001391B8, UniRef:UniRef100_P9WM76, UniRef:UniRef50_P9WM76, UniRef:UniRef90_P9WM76
contig_1	cds	60376	63000	+	AGJPKI_00335	dnaB	replicative DNA helicase	COG:COG1372, COG:LX, EC:3.6.4.12, GO:0003677, GO:0003678, GO:0004519, GO:0005524, GO:0006269, GO:0006314, GO:0016539, GO:0016887, GO:1990077, RefSeq:WP_003400547.1, SO:0001217, UniParc:UPI0000164F26, UniRef:UniRef100_P59966, UniRef:UniRef50_P9WMR3, UniRef:UniRef90_P59966
contig_1	cds	63180	63872	+	AGJPKI_00340	darT	toxin-antitoxin system toxin DarT	BlastRules:WP_003400548, EC:2.4.2.-, GO:0003677, GO:0016757, GO:0016779, RefSeq:WP_003400548.1, SO:0001217, UniParc:UPI00000D0F66, UniRef:UniRef100_A0A0H3M0L1, UniRef:UniRef50_A0A0H3M0L1, UniRef:UniRef90_A0A0H3M0L1
contig_1	cds	63889	64947	+	AGJPKI_00345	darG	DNA ADP-ribosyl glycohydrolase	COG:COG2110, COG:J, EC:3.2.2.-, GO:0005829, GO:0016787, GO:0140291, RefSeq:WP_003400551.1, SO:0001217, UniParc:UPI00000D115A, UniRef:UniRef100_A0A0H3M776, UniRef:UniRef50_A0A0H3M776, UniRef:UniRef90_A0A0H3M776
contig_1	cds	64992	65645	-	AGJPKI_00350		Chitin-binding type-3 domain-containing protein	SO:0001217, UniParc:UPI0004E36789, UniRef:UniRef100_A0A0E7XU33, UniRef:UniRef50_A0A0E7XU33, UniRef:UniRef90_A0A0E7XU33
contig_1	cds	65751	66674	+	AGJPKI_00355	celA1	Cellulase/cellobiase CelA1	COG:COG5297, COG:G, SO:0001217, UniParc:UPI00005EE34F, UniRef:UniRef100_A0A7U9K0R6, UniRef:UniRef50_Q7DAI9, UniRef:UniRef90_Q7DAI9
contig_1	cds	66903	68342	+	AGJPKI_00360	glcD	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase	COG:C, COG:COG0277, RefSeq:WP_003901784.1, SO:0001217, UniParc:UPI00000D5E6E, UniRef:UniRef100_A0A1R3XU80, UniRef:UniRef50_A0A2X1T653, UniRef:UniRef90_G0TLU6
contig_1	cds	68404	68559	+	AGJPKI_00365		Conserved membrane protein	RefSeq:WP_003400568.1, SO:0001217, UniParc:UPI000169D6F9, UniRef:UniRef100_A0A3E0V5D8, UniRef:UniRef50_A0A3E0V5D8, UniRef:UniRef90_A0A3E0V5D8
contig_1	cds	68600	70051	+	AGJPKI_00370		Rhomboid family integral membrane protein	KEGG:K09118, SO:0001217, UniParc:UPI000252D1FD, UniRef:UniRef100_A0A0H3L4T1, UniRef:UniRef50_A0A0H3L4T1, UniRef:UniRef90_A0A0H3L4T1
contig_1	cds	70702	70941	+	AGJPKI_00375	vapB1	Putative antitoxin VapB1	GO:0006355, RefSeq:WP_003400577.1, SO:0001217, UniParc:UPI00005EE352, UniRef:UniRef100_P0CW29, UniRef:UniRef50_P0CW29, UniRef:UniRef90_P0CW29
contig_1	cds	70934	71335	+	AGJPKI_00380	vapC1	type II toxin-antitoxin system ribonuclease VapC1	BlastRules:WP_003400580, COG:COG4113, COG:V, EC:3.1.-.-, GO:0000287, GO:0004540, RefSeq:WP_003400580.1, SO:0001217, UniParc:UPI00000D10C5, UniRef:UniRef100_P9WFC0, UniRef:UniRef50_P9WFC0, UniRef:UniRef90_P9WFC0
contig_1	cds	71387	73624	-	AGJPKI_00385	icdM	NADP-dependent isocitrate dehydrogenase	COG:C, COG:COG2838, RefSeq:WP_003899797.1, SO:0001217, UniParc:UPI00000D5F8F, UniRef:UniRef100_A0A045JW58, UniRef:UniRef50_A0A1U6GJ91, UniRef:UniRef90_A0A045JW58
contig_1	cds	73742	74311	-	AGJPKI_00390	acrR	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA	COG:COG1309, COG:K, RefSeq:WP_003400591.1, SO:0001217, UniParc:UPI00000D5F22, UniRef:UniRef100_A0A1R3XVC8, UniRef:UniRef50_A0A051UID5, UniRef:UniRef90_A0A655I6P2
contig_1	cds	74414	75325	+	AGJPKI_00395	fabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	COG:COG1028, COG:I, RefSeq:WP_003899798.1, SO:0001217, UniParc:UPI0000164F29, UniRef:UniRef100_A0A045GNK6, UniRef:UniRef50_A0A045GNK6, UniRef:UniRef90_A0A045GNK6
contig_1	cds	75350	76735	-	AGJPKI_00400	sdaA	L-serine ammonia-lyase	EC:4.3.1.17, GO:0003941, GO:0005886, GO:0006094, GO:0046872, GO:0051539, RefSeq:WP_003400600.1, SO:0001217, UniParc:UPI0000135734, UniRef:UniRef100_P66774, UniRef:UniRef50_P66774, UniRef:UniRef90_P66774
contig_1	cds	76732	78009	-	AGJPKI_00405	glyA2	Serine hydroxymethyltransferase 2	COG:COG0112, COG:E, EC:2.1.2.1, GO:0004372, GO:0005737, GO:0005829, GO:0005886, GO:0006544, GO:0006563, GO:0006565, GO:0006730, GO:0008270, GO:0019264, GO:0030170, GO:0035999, GO:0042803, GO:0046653, GO:0046655, GO:0070905, RefSeq:WP_015456094.1, SO:0001217, UniParc:UPI000252D1FF, UniRef:UniRef100_A0A0H3L4E2, UniRef:UniRef50_P9WGI6, UniRef:UniRef90_P9WGI6
contig_1	ncRNA-region	78317	78407	-			Glycine riboswitch	RFAM:RF00504, SO:0000035
contig_1	cds	78599	79324	+	AGJPKI_00410	ykfC	Retron-type reverse transcriptase	COG:COG3344, COG:X, RefSeq:WP_003899800.1, SO:0001217, UniParc:UPI00005F63DD, UniRef:UniRef100_A0A0H3L4U2, UniRef:UniRef50_A0A0H3L4U2, UniRef:UniRef90_A0A0H3L4U2
contig_1	cds	79755	80804	+	AGJPKI_00415	lolE	Uncharacterized ABC transporter permease Rv0072	COG:COG4591, COG:M, GO:0005576, GO:0005886, RefSeq:WP_003400616.1, SO:0001217, UniParc:UPI00000D5FC5, UniRef:UniRef100_P9WG16, UniRef:UniRef50_P9WG16, UniRef:UniRef90_P9WG16
