
Gene_ID	error	StartBad	StopBad	frameshifts	splicesites	length	product	errorStill	StartStillBad	StopStillBad	frameshiftsStill	JoinExons	PossiblePseudo	CorrectionLog	
Rv0049	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0050	1	1	0	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start	
Rv0051	1	1	0	0	0	0	transmembrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0052	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0054	1	1	0	0	0	0	single-strand DNA-binding protein"	1	1	0	0	0	0	0	
Rv0063	1	1	0	0	0	0	oxidoreductase"	0	0	0	0	0	0	 // Corrected Start	
Rv0063a	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0064	1	0	0	4	0	0	transmembrane protein"	0	0	0	0	0	0	0	
Rv0065	1	1	0	0	0	0	ribonuclease VapC1"	0	0	0	0	0	0	 // Corrected Start	
Rv0067c	1	1	0	0	0	0	transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0073	1	1	0	0	0	0	glutamine ABC transporter ATP-binding protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0078B	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0079	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0081	1	1	0	0	0	0	HTH-type transcriptional regulator"	1	1	0	0	0	0	0	
Rv0087	1	1	0	0	0	0	formate hydrogenase HycE"	0	0	0	0	0	0	 // Corrected Start	
Rv0088	1	1	0	0	0	0	polyketide cyclase/dehydrase"	0	0	0	0	0	0	 // Corrected Start	
Rv0089	1	1	0	0	0	0	methyltransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0090	1	1	0	0	0	0	membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0093c	1	1	0	0	0	0	membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0094c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0095c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0100	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0101	1	1	0	0	0	0	peptide synthetase Nrp"	0	0	0	0	0	0	 // Corrected Start	
Rv0103c	1	1	0	0	0	0	cation-transporter P-type ATPase B"	0	0	0	0	0	0	 // Corrected Start	
Rv0104	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0107c	4	1	1	1	0	1	cation-transporter ATPase I"	0	0	0	0	0	0	 // Corrected Start // Corrected Stop	
Rv0108c	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0111	1	1	0	0	0	0	acyltransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0113	1	1	0	0	0	0	phosphoheptose isomerase"	0	0	0	0	0	0	 // Corrected Start	
Rv0117	1	1	0	0	0	0	oxidative stress response regulatory protein	1	1	0	0	0	0	0	
Rv0121c	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0122	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0128	1	1	0	0	0	0	transmembrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0135c	1	1	0	0	0	0	transcriptional regulator"	1	1	0	0	0	0	0	
Rv0138	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0142	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0144	1	1	0	0	0	0	transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0145	1	1	0	0	0	0	S-adenosylmethionine-dependent	1	1	0	0	0	0	0	
Rv0157A	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0162c	1	1	0	0	0	0	zinc-type alcohol dehydrogenase subunit E"	0	0	0	0	0	0	 // Corrected Start	
Rv0165c	1	1	0	0	0	0	transcriptional regulator Mce1R"	0	0	0	0	0	0	 // Corrected Start	
Rv0166	1	1	0	0	0	0	fatty-acid--CoA ligase FadD5"	0	0	0	0	0	0	 // Corrected Start	
Rv0167	1	1	0	0	0	0	membrane protein"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0172	1	1	0	0	0	0	Mce family protein Mce1D"	0	0	0	0	0	0	 // Corrected Start	
Rv0174	1	1	0	0	0	0	Mce family protein Mce1F"	0	0	0	0	0	0	 // Corrected Start	
Rv0175	1	1	0	0	0	0	Mce associated membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0176	1	1	0	0	0	0	Mce associated transmembrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0178	1	1	0	0	0	0	Mce associated membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0185	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0187	1	1	0	0	0	0	O-methyltransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0193c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0197	3	0	1	2	0	1	oxidoreductase"	0	0	0	0	0	0	 // Corrected Stop	
Rv0198c	1	1	0	0	0	0	zinc metalloprotease"	0	0	0	0	0	0	 // Corrected Start	
Rv0201c	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0204c	1	1	0	0	0	0	transmembrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0206c	1	1	0	0	0	0	transmembrane transport protein MmpL3"	0	0	0	0	0	0	 // Corrected Start	
Rv0210	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0212c	1	1	0	0	0	0	transcriptional regulator NadR"	0	0	0	0	0	0	 // Corrected Start	
Rv0214	1	1	0	0	0	0	fatty-acid--CoA ligase FadD4"	0	0	0	0	0	0	 // Corrected Start	
Rv0216	1	1	0	0	0	0	hydratase"	0	0	0	0	0	0	 // Corrected Start	
Rv0217c	1	1	0	0	0	0	esterase LipW"	0	0	0	0	0	0	 // Corrected Start	
Rv0221	1	1	0	0	0	0	diacyglycerol O-acyltransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0224c	1	1	0	0	0	0	methyltransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0226c	1	1	0	0	0	0	transmembrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0230c	1	1	0	0	0	0	phosphotriesterase"	0	0	0	0	0	0	 // Corrected Start	
Rv0236c	1	1	0	0	0	0	alpha-(1->3)-arabinofuranosyltransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0240	1	1	0	0	0	0	ribonuclease VapC24"	0	0	0	0	0	0	 // Corrected Start	
Rv0241c	1	1	0	0	0	0	3-hydroxyacyl-thioester dehydratase HtdX"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0242c	1	1	0	0	0	0	3-oxoacyl-ACP reductase FabG"	0	0	0	0	0	0	 // Corrected Start	
Rv0243	1	1	0	0	0	0	acetyl-CoA acetyltransferase FadA"	0	0	0	0	0	0	 // Corrected Start	
Rv0244c	1	1	0	0	0	0	acyl-CoA dehydrogenase FadE5"	0	0	0	0	0	0	 // Corrected Start	
Rv0245	1	1	0	0	0	0	oxidoreductase"	0	0	0	0	0	0	 // Corrected Start	
Rv0246	1	1	0	0	0	0	integral membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0250c	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0253	1	1	0	0	0	0	nitrite reductase small subunit NirD"	1	1	0	0	0	0	0	
Rv0254c	1	1	0	0	0	0	bifunctional cobinamide kinase/cobinamide	1	1	0	0	0	0	0	
Rv0262c	1	1	0	0	0	0	aminoglycoside 2'-N-acetyltransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0265c	1	1	0	0	0	0	iron ABC transporter substrate-binding	1	1	0	0	0	0	0	
Rv0266c	1	1	0	0	0	0	5-oxoprolinase OplA"	0	0	0	0	0	0	 // Corrected Start	
Rv0268c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0272c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0273c	1	1	0	0	0	0	transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0279c	3	1	1	0	0	1	PE-PGRS family protein PE_PGRS4"	1	1	0	0	0	0	 // Corrected Stop	
Rv0403c	1	0	1	0	0	0	membrane protein MmpS1"	0	0	0	0	0	0	 // Corrected Stop	
Rv0407	1	1	0	0	0	0	F420-dependent glucose-6-phosphate	0	0	0	0	0	0	 // Corrected Start	
Rv0408	1	1	0	0	0	0	phosphate acetyltransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0412c	1	1	0	0	0	0	membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0413	1	1	0	0	0	0	8-oxo-dGTP diphosphatase"	1	1	0	0	0	0	0	
Rv0414c	1	1	0	0	0	0	thiamine-phosphate synthase"	1	1	0	0	0	0	0	
Rv0417	1	1	0	0	0	0	thiazole synthase"	0	0	0	0	0	0	 // Corrected Start	
Rv0420c	1	1	0	0	0	0	transmembrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0431	1	1	0	0	0	0	tuberculin-like peptide"	0	0	0	0	0	0	 // Corrected Start	
Rv0433	1	1	0	0	0	0	carboxylate-amine ligase"	0	0	0	0	0	0	 // Corrected Start	
Rv0435c	1	1	0	0	0	0	ATPase"	0	0	0	0	0	0	 // Corrected Start	
Rv0437c	1	1	0	0	0	0	phosphatidylserine decarboxylase"	0	0	0	0	0	0	 // Corrected Start	
Rv0438c	1	1	0	0	0	0	molybdopterin molybdenumtransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0441c	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0442c	1	1	0	0	0	0	PPE family protein PPE10"	0	0	0	0	0	0	 // Corrected Start	
Rv0446c	1	1	0	0	0	0	transmembrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0448c	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0449c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0450c	1	1	0	0	0	0	transmembrane transport protein MmpL4"	0	0	0	0	0	0	 // Corrected Start	
Rv0451c	1	1	0	0	0	0	membrane protein MmpS4"	0	0	0	0	0	0	 // Corrected Start	
Rv0452	1	1	0	0	0	0	transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0456B	1	1	0	0	0	0	antitoxin MazE1"	1	1	0	0	0	0	0	
Rv0461	1	1	0	0	0	0	transmembrane protein"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
Rv0462	1	1	0	0	0	0	dihydrolipoamide dehydrogenase"	0	0	0	0	0	0	 // Corrected Start	
Rv0465c	1	1	0	0	0	0	HTH-type transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0466	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0468	1	1	0	0	0	0	3-hydroxybutyryl-CoA dehydrogenase"	0	0	0	0	0	0	 // Corrected Start	
Rv0470A	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0472c	1	1	0	0	0	0	HTH-type transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0473	1	1	0	0	0	0	transmembrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0478	1	1	0	0	0	0	2-deoxyribose-5-phosphate aldolase"	0	0	0	0	0	0	 // Corrected Start	
Rv0479c	1	1	0	0	0	0	membrane protein"	1	1	0	0	0	0	0	
Rv0483	1	1	0	0	0	0	lipoprotein LprQ"	1	1	0	0	0	0	0	
Rv0485	1	1	0	0	0	0	transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0487	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0490	1	1	0	0	0	0	two component sensor histidine kinase SenX3"	0	0	0	0	0	0	 // Corrected Start	
Rv0493c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0494	1	1	0	0	0	0	HTH-type transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0495c	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0496	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0498	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0501	1	1	0	0	0	0	UDP-glucose 4-epimerase GalE"	0	0	0	0	0	0	 // Corrected Start	
Rv0506	1	1	0	0	0	0	membrane protein MmpS2"	0	0	0	0	0	0	 // Corrected Start	
Rv0509	1	1	0	0	0	0	glutamyl-tRNA reductase"	0	0	0	0	0	0	 // Corrected Start	
Rv0510	1	1	0	0	0	0	porphobilinogen deaminase"	0	0	0	0	0	0	 // Corrected Start	
Rv0514	1	1	0	0	0	0	transmembrane protein"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
Rv0518	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0519c	1	1	0	0	0	0	membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0529	1	1	0	0	0	0	cytochrome C-type biogenesis protein CcsA"	0	0	0	0	0	0	 // Corrected Start	
Rv0530	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0530A	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0531	1	1	0	0	0	0	membrane protein"	1	1	0	0	0	0	0	
Rv0534c	1	1	0	0	0	0	1,4-dihydroxy-2-naphthoate	0	0	0	0	0	0	 // Corrected Start	
Rv0537c	1	1	0	0	0	0	integral membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0539	1	1	0	0	0	0	dolichyl-phosphate sugar synthase"	0	0	0	0	0	0	 // Corrected Start	
Rv0540	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0541c	1	1	0	0	0	0	integral membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0542c	1	1	0	0	0	0	2-succinylbenzoic acid--CoA ligase"	0	0	0	0	0	0	 // Corrected Start	
Rv0543c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0544c	1	1	0	0	0	0	transmembrane protein"	1	1	0	0	0	0	0	
Rv0545c	1	1	0	0	0	0	low-affinity inorganic phosphate transporter"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0547c	1	1	0	0	0	0	oxidoreductase"	0	0	0	0	0	0	 // Corrected Start	
Rv0548c	1	1	0	0	0	0	1,4-dihydroxy-2-naphthoyl-CoA synthase"	0	0	0	0	0	0	 // Corrected Start	
Rv0549c	1	1	0	0	0	0	ribonuclease VapC3"	0	0	0	0	0	0	 // Corrected Start	
Rv0550c	1	1	0	0	0	0	antitoxin VapB3"	0	0	0	0	0	0	 // Corrected Start	
Rv0553	1	1	0	0	0	0	muconate cycloisomerase"	0	0	0	0	0	0	 // Corrected Start	
Rv0554	1	1	0	0	0	0	non-heme bromoperoxidase BpoC"	0	0	0	0	0	0	 // Corrected Start	
Rv0555	1	1	0	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start	
Rv0556	1	1	0	0	0	0	transmembrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0557	1	1	0	0	0	0	GDP-mannose-dependent alpha-mannosyltransferase"	0	0	0	0	0	0	 // Corrected Start	
Rv0561c	1	1	0	0	0	0	oxidoreductase"	0	0	0	0	0	0	 // Corrected Start	
Rv0562	1	1	0	0	0	0	polyprenyl-diphosphate synthase GrcC"	0	0	0	0	0	0	 // Corrected Start	
Rv0567	1	1	0	0	0	0	methyltransferase/methylase"	0	0	0	0	0	0	 // Corrected Start	
Rv0570	1	1	0	0	0	0	Not Set	0	0	0	0	0	0	 // Corrected Start	
Rv0574c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0575c	1	1	0	0	0	0	oxidoreductase"	0	0	0	0	0	0	 // Corrected Start	
Rv0581	1	1	0	0	0	0	antitoxin VapB26"	1	1	0	0	0	0	0	
Rv0582	1	1	0	0	0	0	ribonuclease VapC26"	1	1	0	0	0	0	0	
Rv0589	1	1	0	0	0	0	Mce family protein Mce2A"	0	0	0	0	0	0	 // Corrected Start	
Rv0592	3	0	1	1	0	1	Mce family protein Mce2D"	0	0	0	0	0	0	 // Corrected Stop	
Rv0593	1	1	0	0	0	0	Mce family lipoprotein LprL"	0	0	0	0	0	0	 // Corrected Start	
Rv0595c	1	1	0	0	0	0	ribonuclease VapC4"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0598c	1	1	0	0	0	0	ribonuclease VapC27"	0	0	0	0	0	0	 // Corrected Start	
Rv0600c	1	1	0	0	0	0	two component sensor kinase HK1"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0602c	1	1	0	0	0	0	two component DNA binding transcriptional	0	0	0	0	0	0	 // Corrected Start	
Rv0607	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0609	1	1	0	0	0	0	ribonuclease VapC28"	1	1	0	0	0	0	0	
Rv0609A	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
Rv0612	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0613c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0614	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0615	1	1	0	0	0	0	integral membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0616A	1	1	0	0	0	0	antitoxin VapB29"	0	0	0	0	0	0	 // Corrected Start	
Rv0617	1	1	0	0	0	0	ribonuclease VapC29"	0	0	0	0	0	0	 // Corrected Start	
Rv0627	1	1	0	0	0	0	ribonuclease VapC5"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
Rv0628c	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0629c	1	1	0	0	0	0	exonuclease V subunit alpha RecD"	0	0	0	0	0	0	 // Corrected Start	
Rv0634A	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0634c	1	1	0	0	0	0	glyoxalase II"	0	0	0	0	0	0	 // Corrected Start	
Rv0635	1	1	0	0	0	0	(3R)-hydroxyacyl-ACP dehydratase subunit HadA"	0	0	0	0	0	0	 // Corrected Start	
Rv0638	1	1	0	0	0	0	preprotein translocase SecE"	1	1	0	0	0	0	0	
Rv0639	1	1	0	0	0	0	transcription termination/antitermination	0	0	0	0	0	0	 // Corrected Start	
Rv0646c	1	1	0	0	0	0	lipase/esterase LipG"	0	0	0	0	0	0	 // Corrected Start	
Rv0648	1	1	0	0	0	0	alpha-mannosidase"	0	0	0	0	0	0	 // Modell shifted 2 base(s) // Corrected Start	
Rv0655	1	1	0	0	0	0	ABC transporter ATP-binding protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0656c	1	1	0	0	0	0	ribonuclease VapC6"	0	0	0	0	0	0	 // Corrected Start	
Rv0657c	1	1	0	0	0	0	antitoxin VapB6"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0658c	1	1	0	0	0	0	integral membrane protein"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0665	1	1	0	0	0	0	ribonuclease VapC8"	0	0	0	0	0	0	 // Corrected Start	
Rv0666	1	1	0	0	0	0	membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0667	1	1	0	0	0	0	DNA-directed RNA polymerase subunit beta"	0	0	0	0	0	0	 // Corrected Start	
Rv0668	1	1	0	0	0	0	DNA-directed RNA polymerase subunit beta'"	0	0	0	0	0	0	 // Corrected Start	
Rv0670	1	1	0	0	0	0	endonuclease IV"	1	1	0	0	0	0	0	
Rv0678	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0679c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0680c	1	1	0	0	0	0	transmembrane protein"	1	1	0	0	0	0	0	
Rv0681	1	1	0	0	0	0	transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0684	1	1	0	0	0	0	elongation factor G"	0	0	0	0	0	0	 // Corrected Start	
Rv0685	1	1	0	0	0	0	elongation factor Tu"	0	0	0	0	0	0	 // Corrected Start	
Rv0686	1	1	0	0	0	0	membrane protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0687	1	1	0	0	0	0	NAD-dependent oxidoreductase"	1	1	0	0	0	0	0	
Rv0689c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0690c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0692	1	1	0	0	0	0	mycofactocin system protein MftB"	1	1	0	0	0	0	0	
Rv0694	1	1	0	0	0	0	mycofactocin system heme/flavin oxidoreductase	0	0	0	0	0	0	 // Corrected Start	
Rv0695	1	1	0	0	0	0	mycofactocin system creatinine amidohydrolase	0	0	0	0	0	0	 // Corrected Start	
Rv0697	1	1	0	0	0	0	dehydrogenase"	0	0	0	0	0	0	 // Corrected Start	
Rv0698	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0700	1	1	0	0	0	0	30S ribosomal protein S10"	1	1	0	0	0	0	0	
Rv0707	1	1	0	0	0	0	30S ribosomal protein S3"	0	0	0	0	0	0	 // Corrected Start	
Rv0710	1	1	0	0	0	0	30S ribosomal protein S17"	0	0	0	0	0	0	 // Corrected Start	
Rv0712	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0714	1	1	0	0	0	0	50S ribosomal protein L14"	1	1	0	0	0	0	0	
Rv0723	1	1	0	0	0	0	50S ribosomal protein L15"	0	0	0	0	0	0	 // Corrected Start	
Rv0728c	1	1	0	0	0	0	D-3-phosphoglycerate dehydrogenase SerA"	0	0	0	0	0	0	 // Corrected Start	
Rv0729	1	1	0	0	0	0	D-xylulose kinase XylB"	0	0	0	0	0	0	 // Corrected Start	
Rv0732	1	1	0	0	0	0	preprotein translocase SecY"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0733	1	1	0	0	0	0	adenylate kinase"	1	1	0	0	0	0	0	
Rv0735	1	1	0	0	0	0	ECF RNA polymerase sigma factor SigL"	0	0	0	0	0	0	 // Corrected Start	
Rv0737	1	1	0	0	0	0	transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0738	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0739	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0742	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0745	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	0	
Rv0749A	1	1	0	0	0	0	hypothetical protein"	1	1	0	0	0	0	 // No unique shift for model found... MANUAL check	
Rv0750	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0759c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0761c	1	1	0	0	0	0	alcohol dehydrogenase B"	0	0	0	0	0	0	 // Corrected Start	
Rv0762c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // No unique shift for model found... MANUAL check // Corrected Start	
Rv0767c	1	1	0	0	0	0	HTH-type transcriptional regulator"	0	0	0	0	0	0	 // Corrected Start	
Rv0772	1	1	0	0	0	0	phosphoribosylamine--glycine ligase"	0	0	0	0	0	0	 // Corrected Start	
Rv0777	1	1	0	0	0	0	adenylosuccinate lyase PurB"	0	0	0	0	0	0	 // Corrected Start	
Rv0784	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0785	1	1	0	0	0	0	KsdD-like steroid dehydrogenase"	0	0	0	0	0	0	 // Corrected Start	
Rv0787	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0787A	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0788	1	1	0	0	0	0	phosphoribosylformylglycinamidine synthase"	0	0	0	0	0	0	 // Corrected Start	
Rv0789c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0797	4	1	1	8	0	1	insertion sequence element IS1547 transposase"	0	0	0	1	0	0	 // Modell shifted 1 base(s) // Corrected Start // Corrected Stop	
Rv0799c	1	1	0	0	0	0	hypothetical protein"	0	0	0	0	0	0	 // Corrected Start	
Rv0803	1	1	0	0	0	0	phosphoribosylformylglycinamidine synthase 2"	0	0	0	0	0	0	 // Corrected Start	
Rv0805	1	1	0	0	0	0	3',5'-cyclic adenosine monophosphate	0	0	0	0	0	0	 // Corrected Start	
Rv0808	1	1	0	0	0	0	amidophosphoribosyltransferase"	0	0	0	0	0	0	 // Corrected Start	
